strength,date,Unnamed: 2,filename
723.0,2021-11-02,2021-10-30.5,AR_LIST_2021.10.30_12:00:00.txt
534.0,2021-11-03,2021-10-31.0,AR_LIST_2021.10.31_00:00:00.txt
469.0,2021-11-02,2021-10-31.5,AR_LIST_2021.10.31_12:00:00.txt
302.0,2021-11-03,2021-11-01.0,AR_LIST_2021.11.01_00:00:00.txt
178.0,2021-11-02,2021-11-01.5,AR_LIST_2021.11.01_12:00:00.txt
45.0,2021-11-03,2021-11-02.0,AR_LIST_2021.11.02_00:00:00.txt
655.0,2021-12-18,2021-12-08.5,AR_LIST_2021.12.08_12:00:00.txt
743.0,2021-12-18,2021-12-09.0,AR_LIST_2021.12.09_00:00:00.txt
882.0,2021-12-18,2021-12-09.5,AR_LIST_2021.12.09_12:00:00.txt
852.0,2021-12-18,2021-12-10.0,AR_LIST_2021.12.10_00:00:00.txt
911.0,2021-12-18,2021-12-10.5,AR_LIST_2021.12.10_12:00:00.txt
905.0,2021-12-18,2021-12-11.0,AR_LIST_2021.12.11_00:00:00.txt
932.0,2021-12-18,2021-12-11.5,AR_LIST_2021.12.11_12:00:00.txt
913.0,2021-12-18,2021-12-12.0,AR_LIST_2021.12.12_00:00:00.txt
769.0,2021-12-18,2021-12-12.5,AR_LIST_2021.12.12_12:00:00.txt
660.0,2021-12-18,2021-12-13.0,AR_LIST_2021.12.13_00:00:00.txt
518.0,2021-12-18,2021-12-13.5,AR_LIST_2021.12.13_12:00:00.txt
415.0,2021-12-18,2021-12-14.0,AR_LIST_2021.12.14_00:00:00.txt
311.0,2021-12-18,2021-12-14.5,AR_LIST_2021.12.14_12:00:00.txt
330.0,2021-12-18,2021-12-15.0,AR_LIST_2021.12.15_00:00:00.txt
427.0,2021-12-18,2021-12-15.5,AR_LIST_2021.12.15_12:00:00.txt
362.0,2021-12-18,2021-12-16.0,AR_LIST_2021.12.16_00:00:00.txt
352.0,2021-12-17,2021-12-16.5,AR_LIST_2021.12.16_12:00:00.txt
206.0,2021-12-18,2021-12-17.0,AR_LIST_2021.12.17_00:00:00.txt
172.0,2021-12-18,2021-12-17.5,AR_LIST_2021.12.17_12:00:00.txt
63.0,2021-12-18,2021-12-18.0,AR_LIST_2021.12.18_00:00:00.txt
469.0,2021-12-24,2021-12-18.0,AR_LIST_2021.12.18_00:00:00.txt
37.0,2021-12-18,2021-12-18.5,AR_LIST_2021.12.18_12:00:00.txt
497.0,2021-12-24,2021-12-18.5,AR_LIST_2021.12.18_12:00:00.txt
