strength,date,,filename
574,2012-03-29.9,2012-03-22,AR_LIST_2012.03.22_00:00:00.txt
617,2012-03-29.4,2012-03-22,AR_LIST_2012.03.22_12:00:00.txt
583,2012-03-29.9,2012-03-23,AR_LIST_2012.03.23_00:00:00.txt
492,2012-03-29.3,2012-03-23,AR_LIST_2012.03.23_12:00:00.txt
479,2012-03-29.9,2012-03-24,AR_LIST_2012.03.24_00:00:00.txt
384,2012-03-29.3,2012-03-24,AR_LIST_2012.03.24_12:00:00.txt
427,2012-03-29.8,2012-03-25,AR_LIST_2012.03.25_00:00:00.txt
379,2012-03-29.3,2012-03-25,AR_LIST_2012.03.25_12:00:00.txt
414,2012-03-29.8,2012-03-26,AR_LIST_2012.03.26_00:00:00.txt
388,2012-03-29.3,2012-03-26,AR_LIST_2012.03.26_12:00:00.txt
498,2012-03-29.8,2012-03-27,AR_LIST_2012.03.27_00:00:00.txt
440,2012-03-29.3,2012-03-27,AR_LIST_2012.03.27_12:00:00.txt
426,2012-03-29.8,2012-03-28,AR_LIST_2012.03.28_00:00:00.txt
338,2012-03-29.2,2012-03-28,AR_LIST_2012.03.28_12:00:00.txt
320,2012-03-29.7,2012-03-29,AR_LIST_2012.03.29_00:00:00.txt
205,2012-03-29.3,2012-03-29,AR_LIST_2012.03.29_12:00:00.txt
15,2012-03-30.1,2012-03-30,AR_LIST_2012.03.30_00:00:00.txt
568,2012-05-04.9,2012-05-02,AR_LIST_2012.05.02_00:00:00.txt
531,2012-05-04.4,2012-05-02,AR_LIST_2012.05.02_12:00:00.txt
634,2012-05-04.9,2012-05-03,AR_LIST_2012.05.03_00:00:00.txt
647,2012-05-04.4,2012-05-03,AR_LIST_2012.05.03_12:00:00.txt
928,2012-05-04.9,2012-05-04,AR_LIST_2012.05.04_00:00:00.txt
426,2012-05-24.6,2012-05-16,AR_LIST_2012.05.16_00:00:00.txt
446,2012-05-24.1,2012-05-16,AR_LIST_2012.05.16_12:00:00.txt
568,2012-05-24.7,2012-05-17,AR_LIST_2012.05.17_00:00:00.txt
509,2012-05-24.2,2012-05-17,AR_LIST_2012.05.17_12:00:00.txt
573,2012-05-24.8,2012-05-18,AR_LIST_2012.05.18_00:00:00.txt
493,2012-05-24.4,2012-05-18,AR_LIST_2012.05.18_12:00:00.txt
451,2012-05-24.9,2012-05-19,AR_LIST_2012.05.19_00:00:00.txt
