Combined Name,Mean Strength,Prediction Date,dB0
FS-2014-038_2014-05,847.1875,2014-05-14.6,444.9589468573614
FS-2014-039_2014-05,1158.4782608695652,2014-05-22.1,473.2002199699723
FS-2014-040_2014-05,290.75,2014-05-19.2,214.3172920385113
FS-2014-041_2014-05,256.9375,2014-05-24.2,136.8386700962157
FS-2014-042_2014-05,334.6666666666667,2014-05-26.3,183.76692073954595
FS-2014-043_2014-05,248.55555555555554,2014-05-25.4,184.53782049641825
FS-2014-044_2014-05,2431.6,2014-06-03.0,1210.252523411559
FS-2014-045_2014-05,326.0,2014-06-07.5,209.48904078662503
FS-2014-046_2014-05,1262.1739130434783,2014-06-11.3,511.7408100289937
FS-2014-047_2014-06,1315.0,2014-06-16.2,618.9099637732572
FS-2014-048_2014-06,148.0909090909091,2014-06-16.6,110.34804626104284
FS-2014-049_2014-06,792.0588235294117,2014-06-22.2,361.6257851614412
FS-2014-050_2014-06,4575.821428571428,2014-07-01.2,1799.8258192640421
FS-2014-051_2014-06,302.25,2014-06-29.4,485.8858425675383
FS-2014-052_2014-06,236.6,2014-06-27.6,284.7586133831422
FS-2014-053_2014-06,1016.0,2014-07-04.0,477.55028538728254
FS-2014-054_2014-06,1398.7727272727273,2014-07-08.1,576.0487644747847
FS-2014-055_2014-07,743.9230769230769,2014-07-11.5,396.73355934707826
FS-2014-056_2014-07,683.3,2014-07-07.8,409.7931456982002
FS-2014-057_2014-07,1297.7894736842106,2014-07-15.1,618.3296709072731
FS-2014-058_2014-07,1262.0,2014-07-22.1,565.620759474037
FS-2014-059_2014-07,1343.05,2014-07-26.4,613.9300557528813
FS-2014-060_2014-07,3276.08,2014-07-29.2,1345.3442559694688
FS-2014-061_2014-07,732.2857142857143,2014-08-01.8,417.99525609133656
FS-2014-062_2014-07,680.3333333333334,2014-08-02.7,364.9318286292291
FS-2014-063_2014-08,798.7,2014-08-10.8,515.8139817661757
FS-2014-064_2014-08,428.27272727272725,2014-08-13.0,245.59306759098857
FS-2014-065_2014-08,2282.1153846153848,2014-08-23.4,913.2207425957853
FS-2014-066_2014-08,776.3684210526316,2014-08-27.2,348.6212461843242
FS-2014-067_2014-08,435.3125,2014-08-29.4,216.9634770301844
FS-2014-068_2014-08,1452.0454545454545,2014-09-04.5,629.4365954632837
FS-2014-069_2014-08,563.4166666666666,2014-08-31.7,318.0947276307849
FS-2014-070_2014-08,873.8461538461538,2014-09-04.3,472.15610851847794
FS-2014-071_2014-08,887.05,2014-09-09.0,393.77312839741603
FS-2014-072_2014-09,1487.047619047619,2014-09-12.3,635.0502364581857
FS-2014-073_2014-09,1753.0,2014-09-18.4,808.335392436434
FS-2014-074_2014-09,1108.2916666666667,2014-09-21.1,431.36686847882555
FS-2014-075_2014-09,943.074074074074,2014-09-26.1,366.4396659756243
FS-2014-076_2014-09,436.38461538461536,2014-09-22.1,265.26934686268385
FS-2014-077_2014-09,1682.4545454545455,2014-09-28.1,689.2476978907202
FS-2014-078_2014-09,1113.1818181818182,2014-10-01.3,470.0474934027943
FS-2014-079_2014-09,1015.3333333333334,2014-10-01.4,450.9213467794328
FS-2014-080_2014-09,2116.8518518518517,2014-10-07.3,813.7082534907254
FS-2014-081_2014-09,1749.8125,2014-10-04.3,908.0931686638622
FS-2014-082_2014-09,347.1,2014-10-07.1,217.9654888380623
FS-2014-083_2014-09,392.2,2014-10-06.6,423.4241132483083
FS-2014-084_2014-09,1279.96,2014-10-11.2,496.81740842103113
FS-2014-085_2014-09,890.25,2014-10-11.3,400.22553985139564
FS-2014-086_2014-10,6641.5161290322585,2014-10-18.2,2584.1950686533014
FS-2014-087_2014-10,378.2,2014-10-14.6,375.62588728686626
FS-2014-088_2014-10,695.1666666666666,2014-10-16.9,723.2043262120761
FS-2014-089_2014-10,169.25,2014-10-15.6,246.21177716476194
FS-2014-090_2014-10,1418.909090909091,2014-10-20.1,660.8055223749768
FS-2014-091_2014-10,392.2,2014-10-17.1,256.05359629254633
FS-2014-092_2014-10,2862.2,2014-10-24.2,1251.7333938553243
FS-2014-093_2014-10,167.8,2014-10-22.2,98.56745721109291
FS-2014-094_2014-10,788.4166666666666,2014-10-26.4,450.06631406364403
FS-2014-095_2014-10,1051.28,2014-11-01.9,435.79933640091434
FS-2014-096_2014-10,2516.5666666666666,2014-11-04.2,965.9489481200783
FS-2014-097_2014-10,687.8333333333334,2014-10-31.2,609.9858408036545
FS-2014-098_2014-10,398.1111111111111,2014-11-02.3,282.8321743611819
FS-2014-099_2014-10,406.85714285714283,2014-11-03.9,350.00046876234506
FS-2014-100_2014-10,598.75,2014-11-03.9,303.9532387471947
FS-2014-101_2014-10,3551.4166666666665,2014-11-09.1,1564.7526355999178
FS-2014-102_2014-10,1182.2083333333333,2014-11-10.8,510.53044339259026
FS-2014-103_2014-10,5667.392857142857,2014-11-14.2,2089.2562831754412
FS-2014-104_2014-11,317.53333333333336,2014-11-09.3,159.8687279098589
FS-2014-105_2014-11,763.375,2014-11-06.2,512.0432639481487
FS-2014-106_2014-11,766.421052631579,2014-11-18.1,382.7612243446415
FS-2014-107_2014-11,2644.086956521739,2014-11-20.6,1116.275264720942
FS-2014-108_2014-11,1691.2666666666667,2014-11-23.9,845.3270713986332
FS-2014-109_2014-11,802.7142857142857,2014-11-25.8,640.2229039835025
FS-2014-110_2014-11,3793.103448275862,2014-11-30.0,1569.2430862865892
FS-2014-111_2014-11,186.0,2014-11-23.2,254.8520436331853
FS-2014-112_2014-11,1499.611111111111,2014-11-29.5,685.8792287870933
FS-2014-113_2014-11,1071.2,2014-12-01.6,481.7816764658322
FS-2014-114_2014-11,875.8888888888889,2014-12-03.3,412.76203952384094
FS-2014-115_2014-11,1896.72,2014-12-07.2,777.2122011259754
FS-2014-116_2014-11,6093.111111111111,2014-12-11.2,2352.6871126523233
FS-2014-117_2014-11,335.6666666666667,2014-12-06.3,408.6268724631216
FS-2014-118_2014-12,544.5333333333333,2014-12-08.4,257.7914919656228
FS-2014-119_2014-12,352.0,2014-12-08.7,277.524579834318
FS-2014-120_2014-12,2977.0416666666665,2014-12-17.3,1272.9785415069778
FS-2014-121_2014-12,331.1818181818182,2014-12-13.5,200.25982192885866
FS-2014-122_2014-12,392.0,2014-12-16.5,494.26782812725946
FS-2014-123_2014-12,360.2,2014-12-15.8,344.0081910519031
FS-2014-124_2014-12,503.2352941176471,2014-12-20.4,245.01439405259086
FS-2014-125_2014-12,459.84615384615387,2014-12-21.2,273.9286450795647
FS-2014-126_2014-12,2286.3571428571427,2014-12-25.3,912.9041860170064
FS-2014-127_2014-12,600.6,2014-12-19.6,314.89012808740006
FS-2014-128_2014-12,891.2142857142857,2014-12-23.2,477.7428008658347
FS-2014-129_2014-12,858.25,2014-12-26.8,487.7692649089243
FS-2014-130_2014-12,247.2,2014-12-25.4,126.16218970153133
FS-2014-131_2014-12,3012.5,2014-12-28.3,1359.3946219868233
FS-2014-132_2014-12,1969.1304347826087,2015-01-01.5,822.0356787247198
FS-2014-133_2014-12,451.5833333333333,2014-12-29.1,258.72411356591743
FS-2014-134_2014-12,1397.5333333333333,2015-01-04.6,676.6291589603499
FS-2014-135_2014-12,444.42857142857144,2015-01-02.8,322.3466759145461
FS-2014-136_2014-12,470.0,2014-12-31.7,571.0424871657177
FS-2014-137_2014-12,2263.6363636363635,2015-01-05.7,1390.279812101826
FS-2014-138_2014-12,345.0,2015-01-05.6,380.4543822508749
FS-2014-139_2014-12,2691.6666666666665,2015-01-07.5,2078.539864906845
FS-2014-140_2014-12,541.0,2015-01-06.2,569.1504797608084
FS-2014-141_2014-12,393.5,2015-01-08.6,629.0763348843478
