strength,date,Unnamed: 2,filename
533,2016-05,2016-01-27,AR_LIST_2016.01.27_00:00:00.txt
531,2016-05,2016-01-27,AR_LIST_2016.01.27_00:00:00.txt
710,2016-05,2016-01-27,AR_LIST_2016.01.27_12:00:00.txt
911,2016-05,2016-01-27,AR_LIST_2016.01.27_12:00:00.txt
922,2016-05,2016-01-28,AR_LIST_2016.01.28_00:00:00.txt
952,2016-05,2016-01-28,AR_LIST_2016.01.28_00:00:00.txt
807,2016-05,2016-01-28,AR_LIST_2016.01.28_12:00:00.txt
1419,2016-05,2016-01-28,AR_LIST_2016.01.28_12:00:00.txt
629,2016-05,2016-01-29,AR_LIST_2016.01.29_00:00:00.txt
1339,2016-05,2016-01-29,AR_LIST_2016.01.29_00:00:00.txt
354,2016-05,2016-01-29,AR_LIST_2016.01.29_12:00:00.txt
1435,2016-05,2016-01-29,AR_LIST_2016.01.29_12:00:00.txt
195,2016-05,2016-01-30,AR_LIST_2016.01.30_00:00:00.txt
1075,2016-05,2016-01-30,AR_LIST_2016.01.30_00:00:00.txt
122,2016-05,2016-01-30,AR_LIST_2016.01.30_12:00:00.txt
987,2016-05,2016-01-30,AR_LIST_2016.01.30_12:00:00.txt
79,2016-05,2016-01-31,AR_LIST_2016.01.31_00:00:00.txt
563,2016-05,2016-01-31,AR_LIST_2016.01.31_00:00:00.txt
3,2016-05,2016-01-31,AR_LIST_2016.01.31_12:00:00.txt
708,2016-05,2016-01-31,AR_LIST_2016.01.31_12:00:00.txt
1,2016-05,2016-02-01,AR_LIST_2016.02.01_00:00:00.txt
450,2016-05,2016-02-01,AR_LIST_2016.02.01_00:00:00.txt
683,2016-05,2016-02-01,AR_LIST_2016.02.01_12:00:00.txt
389,2016-05,2016-02-02,AR_LIST_2016.02.02_00:00:00.txt
491,2016-05,2016-02-02,AR_LIST_2016.02.02_12:00:00.txt
272,2016-05,2016-02-03,AR_LIST_2016.02.03_00:00:00.txt
